bayes_view1;bayes_view2;bayes_view3;knn_view1;knn_view2;knn_view3;ensemble
0.781428571428571;0.472857142857143;0.794285714285714;0.958095238095238;0.597619047619048;0.894761904761905;0.81
0.781428571428571;0.467619047619048;0.795238095238095;0.951904761904762;0.595714285714286;0.889523809523809;0.816190476190476
0.783333333333333;0.470952380952381;0.795238095238095;0.957619047619048;0.599047619047619;0.892380952380952;0.813809523809524
0.782857142857143;0.47;0.794285714285714;0.959047619047619;0.60047619047619;0.891428571428571;0.800952380952381
0.78047619047619;0.47047619047619;0.798095238095238;0.957142857142857;0.602380952380952;0.894285714285714;0.842857142857143
0.783809523809524;0.471904761904762;0.80047619047619;0.956190476190476;0.600952380952381;0.886666666666667;0.816190476190476
0.782380952380952;0.473809523809524;0.796190476190476;0.957619047619048;0.595238095238095;0.889523809523809;0.797142857142857
0.783333333333333;0.468571428571429;0.796190476190476;0.956190476190476;0.594761904761905;0.898095238095238;0.85
0.784285714285714;0.472857142857143;0.794761904761905;0.958095238095238;0.602380952380952;0.896190476190476;0.805714285714286
0.781428571428571;0.47;0.797142857142857;0.960952380952381;0.603333333333333;0.89047619047619;0.791904761904762
0.783333333333333;0.471428571428571;0.797142857142857;0.958095238095238;0.592380952380952;0.889523809523809;0.794285714285714
0.774761904761905;0.468095238095238;0.796190476190476;0.956666666666667;0.594761904761905;0.895238095238095;0.851428571428571
0.782380952380952;0.471904761904762;0.790952380952381;0.957619047619048;0.601428571428571;0.895238095238095;0.80952380952381
0.782857142857143;0.47047619047619;0.800952380952381;0.954285714285714;0.598095238095238;0.894761904761905;0.860476190476191
0.781428571428571;0.468571428571429;0.795238095238095;0.956666666666667;0.605714285714286;0.894761904761905;0.807619047619048
0.784761904761905;0.473809523809524;0.797619047619048;0.955714285714286;0.595238095238095;0.897142857142857;0.808571428571429
0.782380952380952;0.47047619047619;0.796666666666667;0.957142857142857;0.588571428571429;0.889047619047619;0.817142857142857
0.77952380952381;0.470952380952381;0.796666666666667;0.957619047619048;0.603809523809524;0.898571428571429;0.803333333333333
0.780952380952381;0.467619047619048;0.791904761904762;0.956666666666667;0.586666666666667;0.890952380952381;0.861904761904762
0.785238095238095;0.473333333333333;0.794285714285714;0.957619047619048;0.597142857142857;0.894761904761905;0.834285714285714
0.773809523809524;0.465714285714286;0.8;0.953333333333333;0.593809523809524;0.896190476190476;0.828095238095238
0.783809523809524;0.475238095238095;0.793333333333333;0.957142857142857;0.590952380952381;0.895714285714286;0.841428571428571
0.782380952380952;0.471428571428571;0.795714285714286;0.958571428571429;0.601428571428571;0.891428571428571;0.768571428571429
0.781428571428571;0.46952380952381;0.792857142857143;0.957142857142857;0.600952380952381;0.892380952380952;0.818095238095238
0.782380952380952;0.47;0.791904761904762;0.956190476190476;0.595238095238095;0.892380952380952;0.809047619047619
0.783333333333333;0.472857142857143;0.794761904761905;0.955714285714286;0.6;0.89;0.846190476190476
0.783809523809524;0.47;0.795714285714286;0.957142857142857;0.590952380952381;0.894761904761905;0.849047619047619
0.780952380952381;0.473333333333333;0.796190476190476;0.956190476190476;0.600952380952381;0.893333333333333;0.845238095238095
0.784285714285714;0.477142857142857;0.794761904761905;0.955238095238095;0.605714285714286;0.889047619047619;0.798571428571429
0.78047619047619;0.47047619047619;0.794285714285714;0.955238095238095;0.606666666666667;0.894761904761905;0.832380952380952
